=== Step-level timing (force EXIF) ===
Backend: /Users/antoinehue/Code/charlie/test-perso  Partition: 2020/2020-03_Romane-est-arrivee

(See terminal for step-level timing with backend breakdown)

=== cProfile (full, sorted by own time) ===

         705878 function calls (692472 primitive calls) in 25.486 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      158    0.002    0.000    0.060    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/xml/etree/ElementTree.py:1073(tostring)
     6468    0.002    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:554(_check_closed)
     5127    0.002    0.000    0.002    0.000 {built-in method _stat.S_ISLNK}
      649    0.002    0.000    0.011    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:167(suffix)
     1602    0.002    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/unix_events.py:83(_process_self_data)
     1600    0.002    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/futures.py:384(_call_check_cancel)
     1600    0.002    0.000    0.002    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
      640    0.002    0.000    0.002    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:41(_ctx)
      158    0.002    0.000    0.003    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/schema.py:310(_photo_entry_to_dict)
      158    0.002    0.000    0.043    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/tempfile.py:244(_mkstemp_inner)
     1591    0.002    0.000    0.036    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:510(stat)
     1605    0.002    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:1955(_add_callback)
     1607    0.002    0.000    0.003    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/threading.py:318(_is_owned)
     6491    0.002    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/asyncio/base_events.py:2068(get_debug)
      159    0.001    0.000    0.001    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
1619/1616    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      537    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      477    0.001    0.000    0.011    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_abc.py:194(stem)
     1690    0.001    0.000    0.020    0.000 <frozen _collections_abc>:1027(__iter__)
      640    0.001    0.000    0.002    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/profile_indexing.py:42(__enter__)
     3813    0.001    0.000    0.001    0.000 {method 'index' of 'str' objects}
      308    0.001    0.000    0.001    0.000 {method 'isoformat' of 'datetime.datetime' objects}
        1    0.001    0.001    0.006    0.006 /Users/antoinehue/Code/charlie/ouestcharlie-whitebeard/src/whitebeard/indexer.py:265(_filter_photo_files)
        3    0.001    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/json/encoder.py:207(iterencode)
       58    0.001    0.000    0.003    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/logging/__init__.py:298(__init__)
     1750    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      397    0.001    0.000    0.001    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/glob.py:430(select_wildcard)
     1088    0.001    0.000    0.001    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
     1375    0.001    0.000    0.001    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/photo.py:91(<genexpr>)
     2596    0.001    0.000    0.002    0.000 /Users/antoinehue/.local/share/uv/python/cpython-3.13.12-macos-x86_64-none/lib/python3.13/pathlib/_local.py:41(__len__)
     1630    0.001    0.000    0.001    0.000 {built-in method _contextvars.copy_context}
      158    0.001    0.000    0.002    0.000 /Users/antoinehue/Code/charlie/ouestcharlie-py-toolkit/src/ouestcharlie_toolkit/xmp.py:195(_strip_xpacket)
      158    0.001    0.000    0.001    0.000 {built-in method exiv2api.set_log_level}
